,features,feature_importances
0,OverallQual,0.6030689489587863
1,GrLivArea,0.11840682886367844
2,Neighborhood,0.0921000507361575
3,TotalBsmtSF,0.030312677619904176
4,2ndFlrSF,0.02876773897097321
5,1stFlrSF,0.02682366131401383
6,BsmtFinSF1,0.016830295372639907
7,GarageArea,0.012870769453870518
8,BsmtQual,0.01232896071237815
9,GarageCars,0.010706809785456458
10,LotArea,0.0075586972683959214
11,LotFrontage,0.004282270569319485
12,ScreenPorch,0.0028568525187752094
13,TotRmsAbvGrd,0.0023784577110786864
14,FireplaceQu,0.00205391877133563
15,Fence,0.0020017062058233174
16,YearBuilt,0.001955368628041524
17,OpenPorchSF,0.001886816055076783
18,PoolArea,0.0018720146996447776
19,WoodDeckSF,0.0017677313282313996
20,GarageType,0.0014677935028005642
21,MasVnrArea,0.001443746751874452
22,ExterQual,0.0012470042541191948
23,BsmtExposure,0.001221932525520222
24,GarageYrBlt,0.001201856285559151
