,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,0_na,1_na,2_na
984,0.4117647058823529,0.75,0.33972649461273347,0.39177396249704066,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.4090909090909091,0.4,1.0,0.5,0.2,0.4444444444444445,0.5,0.7608695652173925,0.45000000000000284,0.0,0.0,0.7000000000000001,0.7000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5294883495344633,0.8613374039709087,0.0,0.5839071278040819,0.0,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.0,0.0,0.8,0.6999999999999993,0.3333333333333333,0.5,0.44702171005750607,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.75,0.0,0.75,0.0,0.0,0.0
777,0.0,0.75,0.4441284754447365,0.44556215564565194,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,0.2727272727272727,0.4,1.0,0.75,0.6000000000000001,0.4444444444444445,0.5,0.7391304347826093,0.3999999999999986,0.5,0.0,0.5,0.7000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.6666666666666666,0.5720592156768003,0.6666666666666666,0.0,0.2122254851903643,0.23640269134722613,1.0,0.5,1.0,1.0,0.3863164491625485,0.0,0.0,0.34941097062358245,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.3333333333333333,0.4,0.8,0.672727272727272,0.3333333333333333,0.5,0.3774594645994101,0.75,1.0,1.0,0.8512483539474411,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.4545454545454545,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
707,0.588235294117647,0.75,0.20000198727406543,0.2981983999362639,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,1.0,0.4,1.0,1.0,0.6000000000000001,0.7777777777777777,0.5,0.9710144927536231,0.93333333333333,0.5,0.0,0.4,0.30000000000000004,0.5,0.8535238566597125,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,1.0,0.5932837141704874,0.6666666666666666,0.0,0.45513546941375,0.32402622489921523,1.0,1.0,1.0,1.0,0.5358139741313979,0.0,0.0,0.4884853378707471,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0.3333333333333333,0.6666666666666666,0.33333333333333337,1.0,0.3333333333333333,0.8,0.8,0.9636363636363612,1.0,0.5,0.454610143308257,0.75,1.0,1.0,0.8230372384764055,0.5652716772551358,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999999999999,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
598,0.0,0.75,0.36210569532467723,0.44014368033972207,1.0,1.0,0.0,0.0,1.0,0.25,0.0,0.7727272727272727,0.4,1.0,0.75,0.6000000000000001,0.4444444444444445,0.625,0.7608695652173925,0.45000000000000284,0.0,0.0,0.7000000000000001,0.7000000000000001,0.5,0.9298822931104757,0.3333333333333333,1.0,0.5,0.75,0.75,0.5,0.6666666666666666,0.6651247681160115,0.5,0.9996430740459579,0.0,0.34297825167710017,1.0,1.0,1.0,1.0,0.6177947274442672,0.0,0.0,0.5657073334535097,0.3333333333333333,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.6000000000000001,0.8,0.6999999999999993,1.0,0.5,0.5029969949026474,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1818181818181818,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
874,0.17647058823529413,0.25,0.2232331113253368,0.2814548999681689,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.13636363636363635,0.0,1.0,0.75,0.2,0.4444444444444445,0.625,0.5,0.0,0.0,0.0,0.30000000000000004,0.2,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.8333333333333333,0.0,0.6666666666666666,0.0,0.5492367688957129,0.197167145955361,1.0,1.0,1.0,1.0,0.27831936865921736,0.8663502622760302,0.0,0.432711675838498,0.0,0.0,0.3333333333333333,0.5,0.375,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.0,0.0,0.4,0.37272727272727124,0.3333333333333333,0.25,0.19542177743565803,0.75,1.0,1.0,0.5550700077315329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.75,0.6666666666666666,0.0,0.0,0.0,0.0
930,0.0,0.75,0.33052608844389003,0.36731442242067147,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,0.0,0.8181818181818182,0.4,1.0,0.75,0.6000000000000001,0.7777777777777777,0.5,0.9782608695652169,0.9500000000000028,0.0,0.0,0.9,0.8,0.25,0.0,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,1.0,0.1457106666338929,0.6666666666666666,0.0,0.7953168388812317,0.3493291747787926,1.0,1.0,1.0,1.0,0.5741739032227561,0.0,0.0,0.5245329817949314,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.0,0.0,0.8,0.9727272727272727,1.0,0.75,0.4955645256149579,0.75,1.0,1.0,0.7394155068051755,0.4509656506775347,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
339,0.0,0.75,0.2970864173465399,0.4311786030121698,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,0.36363636363636365,0.2,1.0,0.75,0.6000000000000001,0.5555555555555556,0.75,0.6231884057971016,0.7999999999999972,0.5,0.0,0.30000000000000004,0.2,0.5,0.8535238566597125,0.3333333333333333,1.0,0.5,0.5,0.5,0.25,0.5,0.5289630744679095,0.6666666666666666,0.0,0.5306260746676525,0.30411331465582436,1.0,0.5,1.0,0.6666666666666666,0.503330348405734,0.0,0.0,0.4580764785521258,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.0,0.0,0.8,0.5272727272727273,0.3333333333333333,0.25,0.27193523026548977,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.9999973686490782,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
1279,0.17647058823529413,0.0,0.26670113817607843,0.33366877351280183,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.09090909090909091,0.4,1.0,0.75,0.2,0.3333333333333333,0.375,0.3478260869565215,0.0,0.0,0.0,0.4,0.30000000000000004,0.25,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.75,0.25,0.8333333333333333,0.0,0.6666666666666666,0.0,0.557898721575585,0.20189538346446814,1.0,0.5,1.0,0.6666666666666666,0.29076081171885365,0.8608874989135054,0.0,0.4317711773387156,0.0,0.0,0.3333333333333333,0.0,0.25,0.3333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.0,0.0,0.4,0.7272727272727266,0.6666666666666666,0.5,0.43940699412646833,0.75,1.0,1.0,0.5752969811887068,0.0,0.9995903467815509,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0
1432,0.05882352941176469,0.75,0.26670113817607843,0.4043067838699718,1.0,0.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.13636363636363635,0.4,1.0,0.75,0.6000000000000001,0.3333333333333333,0.625,0.3985507246376816,0.9500000000000028,0.0,0.0,0.30000000000000004,0.2,0.25,0.0,0.3333333333333333,1.0,0.25,0.5,0.75,0.25,0.8333333333333333,0.0,0.6666666666666666,0.0,0.541230869293316,0.19283329299285873,1.0,0.5,1.0,1.0,0.41680129912605884,0.0,0.0,0.37759017014340324,0.0,0.0,0.6666666666666666,0.0,0.5,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.0,0.0,0.4,0.25454545454545396,0.3333333333333333,0.25,0.20841189019162143,0.25,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.25,0.6666666666666666,0.75,0.0,0.0,0.0
1041,0.2352941176470588,0.75,0.316439484629012,0.37171385026795845,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.6363636363636364,0.2,1.0,0.75,1.0,0.5555555555555556,0.875,0.6811594202898554,0.8333333333333357,0.5,0.0,0.5,0.6000000000000001,0.5,0.8839731109969255,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,1.0,0.4714373509426552,0.3333333333333333,0.998649890237397,0.38912514845213203,0.2233267881149083,1.0,0.75,1.0,1.0,0.34355122804029903,0.9225164852712051,0.0,0.5624721383375304,0.0,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.0,0.0,0.8,0.5999999999999979,0.3333333333333333,0.5,0.40867203767085397,0.75,1.0,1.0,0.0,0.573283309005872,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.5,0.6666666666666666,0.75,0.0,0.0,1.0
